boro,precinct,statistical_murder_flag,vic_age_group,vic_sex,vic_race
Staten Island,120,FALSE,25-44,male,White
Brooklyn,67,FALSE,25-44,male,Black
Brooklyn,73,FALSE,18-24,male,Unknown
Staten Island,120,FALSE,25-44,male,White
the Bronx,48,FALSE,18-24,male,Black
the Bronx,48,FALSE,18-24,male,Black
the Bronx,48,FALSE,18-24,male,Black
Brooklyn,81,FALSE,25-44,male,Black
the Bronx,46,FALSE,25-44,male,Black
Brooklyn,69,FALSE,18-24,male,Black
the Bronx,47,FALSE,25-44,male,Black
Brooklyn,84,FALSE,18-24,male,Black
Brooklyn,84,FALSE,<18,male,Black
Manhattan,28,FALSE,25-44,male,Black Hispanic
Queens,109,TRUE,25-44,male,Black
Queens,109,TRUE,25-44,male,Black
Queens,115,TRUE,25-44,male,Black
Brooklyn,75,FALSE,45-64,female,White
Brooklyn,67,FALSE,18-24,male,Black
the Bronx,46,FALSE,25-44,male,Black
Queens,113,FALSE,25-44,male,Black
Brooklyn,67,FALSE,<18,male,Black
the Bronx,47,FALSE,25-44,male,Black
the Bronx,41,FALSE,18-24,male,Black
the Bronx,42,FALSE,18-24,male,Black Hispanic
Queens,106,TRUE,25-44,male,Black
Queens,113,TRUE,25-44,male,Black
the Bronx,49,TRUE,45-64,male,Black
Staten Island,121,FALSE,25-44,male,Black
the Bronx,48,FALSE,25-44,female,Black
the Bronx,48,FALSE,25-44,male,Black
Brooklyn,83,FALSE,18-24,male,Black
the Bronx,44,FALSE,25-44,male,Black
Brooklyn,67,FALSE,18-24,female,Black
Brooklyn,67,FALSE,25-44,female,Black
the Bronx,40,FALSE,45-64,male,Asian / Pacific Islander
Queens,114,FALSE,18-24,male,Black
Brooklyn,73,TRUE,<18,male,Black
Queens,114,FALSE,25-44,female,White
Queens,114,TRUE,25-44,female,White
Queens,114,FALSE,25-44,male,Black
Queens,114,TRUE,25-44,male,Black
Brooklyn,81,FALSE,18-24,male,Black
Manhattan,28,FALSE,18-24,male,Black
Brooklyn,75,FALSE,18-24,male,Black Hispanic
Manhattan,28,FALSE,25-44,female,Black
the Bronx,44,FALSE,18-24,male,White Hispanic
the Bronx,44,FALSE,18-24,male,White Hispanic
Brooklyn,75,FALSE,25-44,male,Black
the Bronx,40,FALSE,<18,male,Black
Manhattan,32,FALSE,25-44,male,Asian / Pacific Islander
Brooklyn,94,FALSE,25-44,male,Black
Brooklyn,73,FALSE,18-24,male,Black
Brooklyn,76,TRUE,25-44,male,Black
the Bronx,46,FALSE,25-44,male,Black
Brooklyn,77,FALSE,45-64,female,White
Brooklyn,73,FALSE,25-44,male,Black
the Bronx,48,FALSE,18-24,male,Black
the Bronx,50,FALSE,18-24,male,Black Hispanic
Brooklyn,75,FALSE,25-44,male,Black
Brooklyn,75,TRUE,25-44,male,Black Hispanic
the Bronx,52,FALSE,18-24,male,Black
the Bronx,52,FALSE,18-24,male,Black
Brooklyn,73,FALSE,18-24,male,White Hispanic
Queens,106,TRUE,25-44,male,Black
Queens,105,TRUE,25-44,male,Black
Brooklyn,90,FALSE,18-24,male,Black Hispanic
Brooklyn,90,FALSE,18-24,male,Black Hispanic
Brooklyn,77,FALSE,18-24,male,White Hispanic
Brooklyn,73,FALSE,25-44,male,Black
Brooklyn,67,FALSE,45-64,male,Black
Brooklyn,67,TRUE,25-44,male,Black
the Bronx,44,FALSE,25-44,male,Black
Queens,105,FALSE,18-24,male,Black
Brooklyn,78,FALSE,45-64,male,Black
Queens,105,FALSE,18-24,male,Black
the Bronx,46,FALSE,25-44,male,Black Hispanic
the Bronx,46,FALSE,18-24,male,Black
Brooklyn,63,FALSE,25-44,female,Black
the Bronx,44,TRUE,18-24,male,Black
Brooklyn,77,FALSE,18-24,male,Black
Manhattan,34,FALSE,25-44,male,White Hispanic
Brooklyn,79,TRUE,25-44,male,Black
Brooklyn,79,TRUE,45-64,male,Black
Manhattan,23,TRUE,25-44,male,Black
the Bronx,40,FALSE,<18,male,Black
Brooklyn,67,FALSE,18-24,male,Black
the Bronx,50,TRUE,25-44,male,Black
Brooklyn,71,FALSE,18-24,male,Black
Brooklyn,71,FALSE,25-44,male,Black
Brooklyn,77,FALSE,25-44,male,Black
Brooklyn,71,FALSE,25-44,female,Black
Brooklyn,79,FALSE,25-44,male,Black
Brooklyn,79,TRUE,25-44,male,Black
Brooklyn,73,FALSE,25-44,male,Black
Manhattan,34,FALSE,18-24,male,White Hispanic
Manhattan,34,TRUE,18-24,male,White Hispanic
Manhattan,13,FALSE,25-44,male,Black
Manhattan,13,FALSE,<18,female,Black
Queens,101,TRUE,18-24,male,Black
the Bronx,50,TRUE,18-24,male,White Hispanic
Brooklyn,67,FALSE,18-24,male,Black
Manhattan,30,TRUE,25-44,male,Black Hispanic
Brooklyn,77,FALSE,25-44,male,Black
Brooklyn,73,FALSE,25-44,male,Black
Queens,114,TRUE,25-44,male,Black
the Bronx,48,FALSE,25-44,male,White Hispanic
Queens,103,FALSE,25-44,male,Black
the Bronx,47,FALSE,45-64,male,Black
the Bronx,44,FALSE,25-44,male,White Hispanic
the Bronx,42,FALSE,25-44,male,Black
Manhattan,23,FALSE,18-24,male,Black
Manhattan,23,FALSE,18-24,male,White Hispanic
Manhattan,23,TRUE,18-24,male,Black
Manhattan,23,TRUE,18-24,male,White Hispanic
Manhattan,23,FALSE,25-44,male,Black
Manhattan,23,TRUE,25-44,male,Black
the Bronx,43,FALSE,18-24,male,Black
Manhattan,25,FALSE,18-24,male,Black
Brooklyn,75,FALSE,18-24,male,Black
Brooklyn,71,FALSE,25-44,male,Black
Brooklyn,71,FALSE,<18,male,Black
the Bronx,42,FALSE,25-44,male,Black
Brooklyn,79,FALSE,25-44,male,Black
the Bronx,40,FALSE,25-44,male,Black
the Bronx,44,FALSE,25-44,male,Black
Brooklyn,73,FALSE,<18,male,Black
the Bronx,43,FALSE,18-24,male,White Hispanic
Brooklyn,94,TRUE,25-44,male,Black
Brooklyn,67,FALSE,45-64,male,Black
Brooklyn,67,FALSE,25-44,male,Black
Queens,101,TRUE,25-44,male,Black
Brooklyn,75,FALSE,18-24,male,Black
